"state","gconcept_best","rank","day"
"Oregon","family restaurant",4,"Wednesday"
"Kentucky","shopping center",4,"Wednesday"
"Georgia","winery",4,"Wednesday"
"Missouri","beauty supply store",3,"Wednesday"
"Virginia","museum",4,"Wednesday"
"Ohio","lodge",4,"Wednesday"
"Vermont","pizza restaurant",4,"Wednesday"
"Connecticut","electronics store",4,"Wednesday"
"Arkansas","movie theater",4,"Wednesday"
"Kansas","electronics store",4,"Wednesday"
"Washington","home goods store",4,"Wednesday"
"Maryland","mosque",4,"Wednesday"
"Idaho","craft store",4,"Wednesday"
"Maine","park",4,"Wednesday"
"West Virginia","sandwich shop",4,"Wednesday"
"Hawaii","place of worship",4,"Wednesday"
"South Dakota","american restaurant",4,"Wednesday"
"Illinois","performing arts group",4,"Thursday"
"Pennsylvania","city hall",4,"Thursday"
"Massachusetts","beach",4,"Thursday"
"Nevada","gas station",4,"Thursday"
"Texas","rodeo",4,"Thursday"
"New Mexico","tourist attraction",4,"Thursday"
"Utah","tourist attraction",4,"Thursday"
"Connecticut","bagel shop",4,"Thursday"
"New York","athletic field",4,"Thursday"
"Minnesota","tool store",4,"Thursday"
"Michigan","hot dog restaurant",4,"Thursday"
"North Carolina","general store",4,"Thursday"
"Oregon","indoor lodging",4,"Thursday"
"Wisconsin","butcher shop",4,"Thursday"
"Louisiana","sports bar",4,"Thursday"
"South Carolina","seafood market",4,"Thursday"
"Arizona","lodge",4,"Thursday"
"Colorado","state park",3,"Thursday"
"New Hampshire","tourist attraction",4,"Thursday"
"Vermont","park",4,"Thursday"
"Georgia","variety store",4,"Thursday"
"Maine","seafood restaurant",4,"Thursday"
"Delaware","department store",4,"Thursday"
"Florida","comic book store",4,"Thursday"
"Indiana","home improvement store",4,"Thursday"
"Tennessee","indian restaurant",3,"Thursday"
"Ohio","golf course",4,"Thursday"
"Kansas","barbecue restaurant",4,"Thursday"
"Idaho","campground",4,"Thursday"
"California","place of worship",4,"Thursday"
"Alabama","rv park",4,"Thursday"
"Arkansas","coffee shop",3,"Thursday"
"Virginia","amusement center",4,"Thursday"
"Oklahoma","hardware store",4,"Thursday"
"District of Columbia","parking lot",4,"Thursday"
"Iowa","furniture store",4,"Thursday"
"Kentucky","bowling alley",4,"Thursday"
"Maryland","garden center",4,"Thursday"
"Nebraska","electronics store",4,"Thursday"
"Mississippi","breakfast restaurant",4,"Thursday"
"Washington","bridal shop",4,"Thursday"
"West Virginia","restaurant",4,"Thursday"
"South Dakota","shopping center",4,"Thursday"
"Hawaii","store",4,"Thursday"
"Massachusetts","hiking area",4,"Friday"
"Illinois","fairground",4,"Friday"
"Connecticut","historical landmark",4,"Friday"
"Louisiana","parking lot",4,"Friday"
"Nevada","parking lot",4,"Friday"
"Florida","visitor center",4,"Friday"
"Pennsylvania","memorial park",4,"Friday"
"North Carolina","plant nursery",4,"Friday"
"West Virginia","coffee shop",4,"Friday"
"New York","travel agency",4,"Friday"
"Arizona","scenic spot",4,"Friday"
"South Carolina","university",4,"Friday"
"New Hampshire","mexican restaurant",4,"Friday"
"Utah","golf course",4,"Friday"
"Delaware","liquor store",4,"Friday"
"New Mexico","historic site",4,"Friday"
"California","cabin rental agency",4,"Friday"
"Oregon","historical landmark",4,"Friday"
"Texas","beach resort",4,"Friday"
"Indiana","mattress store",4,"Friday"
"Alabama","liquor store",4,"Friday"
"Missouri","candy store",4,"Friday"
"Maine","home improvement store",4,"Friday"
"Michigan","car race track",4,"Friday"
"Tennessee","indian restaurant",4,"Friday"
"Maryland","thrift store",4,"Friday"
"Georgia","garden",4,"Friday"
"Kentucky","antique store",4,"Friday"
"Arkansas","airport",4,"Friday"
"Virginia","computer store",4,"Friday"
"Washington","childrens clothing store",4,"Friday"
"Minnesota","candy store",4,"Friday"
